"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1777","Miami Heat","Precious Achiuwa",12,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1778","Los Angeles Lakers","Quinn Cook",10,"threes",0.4,0.5164,0,0.375,0,0,1,1,0.3486,-2.055,0.1633,-0.1164
"1779","Denver Nuggets","R.J. Hampton",9,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1780","New York Knicks","RJ Barrett",15,"threes",0.9333,1.2799,0,0.7692,0,0,4,4,1.0681,-0.1343,0.3305,-0.3466
"1781","Atlanta Hawks","Rajon Rondo",5,"threes",0.4,0.8944,0,0.4,0,0,2,2,1.0733,-0.92,0.4,-0.4944
"1782","Washington Wizards","Raul Neto",11,"threes",1.2727,1.1909,1,1.2222,1.4826,0,3,3,0.1708,-1.6825,0.3591,0.0817999999999999
"1783","New York Knicks","Reggie Bullock",13,"threes",1.5385,1.5064,1,1.3636,1.4826,0,5,5,0.7422,-0.3784,0.4178,0.0321
"1784","LA Clippers","Reggie Jackson",12,"threes",1.0833,1.0836,1,1,1.4826,0,3,3,0.2465,-1.5975,0.3128,-0.000299999999999967
"1785","Brooklyn Nets","Reggie Perry",7,"threes",0.1429,0.378,0,0.1429,0,0,1,1,1.6198,0.7959,0.1429,-0.2351
"1786","Sacramento Kings","Richaun Holmes",13,"threes",0.0769,0.2774,0,0,0,0,1,1,2.8162,6.4438,0.0769,-0.2005
"1787","Minnesota Timberwolves","Ricky Rubio",11,"threes",0.4545,0.6876,0,0.3333,0,0,2,2,0.9847,-0.4498,0.2073,-0.2331
"1788","Portland Trail Blazers","Robert Covington",14,"threes",1.5714,1.2225,1,1.5,1.4826,0,4,4,0.7851,-0.3603,0.3267,0.3489
"1789","Boston Celtics","Robert Williams III",8,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1790","Sacramento Kings","Robert Woodard II",5,"threes",0.2,0.4472,0,0.2,0,0,1,1,1.0733,-0.92,0.2,-0.2472
"1791","Washington Wizards","Robin Lopez",11,"threes",0.1818,0.4045,0,0.1111,0,0,1,1,1.4301,0.0762,0.122,-0.2227
"1792","Brooklyn Nets","Rodions Kurucs",6,"threes",0.1667,0.4082,0,0.1667,0,0,1,1,1.3608,-0.0833,0.1667,-0.2415
"1793","Houston Rockets","Rodions Kurucs",6,"threes",0.1667,0.4082,0,0.1667,0,0,1,1,1.3608,-0.0833,0.1667,-0.2415
"1794","Portland Trail Blazers","Rodney Hood",12,"threes",0.5,0.6742,0,0.4,0,0,2,2,0.8158,-0.6808,0.1946,-0.1742
"1795","Detroit Pistons","Rodney McGruder",2,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1796","Utah Jazz","Royce O'Neale",14,"threes",1.8571,1.4601,2,1.6667,0.7413,0,6,6,1.3291,2.0559,0.3902,0.397
"1797","San Antonio Spurs","Rudy Gay",14,"threes",1.7143,1.3828,2,1.5833,1.4826,0,5,5,0.6384,-0.0941,0.3696,0.3315
