"","nameTeam","namePlayer","pts","ast","treb","PRA"
"300","Miami Heat","Goran Dragic",20,7,4,31
"301","Miami Heat","Precious Achiuwa",8,0,3,11
"302","Miami Heat","Kendrick Nunn",0,0,2,2
"303","Orlando Magic","Terrence Ross",19,1,3,23
"304","Miami Heat","Duncan Robinson",14,1,5,20
"305","Orlando Magic","Markelle Fultz",15,4,5,24
"306","Orlando Magic","Michael Carter-Williams",4,0,3,7
"307","Miami Heat","Maurice Harkless",3,1,2,6
"308","LA Clippers","Amir Coffey",0,0,0,0
"309","LA Clippers","Luke Kennard",8,2,6,16
"310","LA Clippers","Mfiondu Kabengele",0,0,0,0
"311","LA Clippers","Nicolas Batum",13,4,10,27
"312","Denver Nuggets","Facundo Campazzo",0,0,0,0
"313","LA Clippers","Paul George",23,9,5,37
"314","Denver Nuggets","Isaiah Hartenstein",6,1,5,12
"315","Denver Nuggets","Michael Porter Jr.",10,2,3,15
"316","Denver Nuggets","Will Barton",15,3,5,23
"317","Denver Nuggets","Jamal Murray",23,3,5,31
"318","LA Clippers","Lou Williams",8,3,4,15
"319","LA Clippers","Ivica Zubac",12,0,0,12
"320","LA Clippers","Reggie Jackson",5,3,1,9
"321","LA Clippers","Patrick Patterson",5,2,3,10
"322","LA Clippers","Serge Ibaka",15,2,2,19
"323","Denver Nuggets","Gary Harris",2,2,1,5
"324","Denver Nuggets","Nikola Jokic",24,10,9,43
"325","Denver Nuggets","PJ Dozier",7,0,2,9
"326","Denver Nuggets","Monte Morris",13,4,1,18
"327","LA Clippers","Patrick Beverley",9,0,2,11
"328","Denver Nuggets","Bol Bol",0,0,0,0
"329","LA Clippers","Kawhi Leonard",21,7,5,33
"330","Denver Nuggets","Paul Millsap",8,0,1,9
"331","LA Clippers","Daniel Oturu",0,0,0,0
"332","LA Clippers","Terance Mann",2,0,0,2
"333","Denver Nuggets","Markus Howard",0,0,0,0
"334","Dallas Mavericks","Josh Green",0,0,0,0
"335","Los Angeles Lakers","Wesley Matthews",2,0,1,3
"336","Los Angeles Lakers","Talen Horton-Tucker",5,2,1,8
"337","Los Angeles Lakers","Anthony Davis",28,5,8,41
"338","Dallas Mavericks","Jalen Brunson",4,1,2,7
"339","Los Angeles Lakers","Montrezl Harrell",22,2,7,31
"340","Los Angeles Lakers","Jared Dudley",0,0,3,3
"341","Los Angeles Lakers","Kyle Kuzma",13,2,6,21
"342","Dallas Mavericks","Luka Doncic",27,7,4,38
"343","Los Angeles Lakers","Alex Caruso",6,2,1,9
"344","Dallas Mavericks","Boban Marjanovic",6,0,1,7
"345","Los Angeles Lakers","Dennis Schroder",18,6,2,26
